Phi,Psi
-92.156,-150.036
-92.529,-150.909
-90.882,-151.111
-92.944,-150.095
-91.769,-150.327
-92.136,-150.037
-91.906,-150.731
-91.56,-151.041
-91.019,-151.303
-91.765,-150.611
-92.191,-150.632
-91.619,-150.367
-92.238,-150.707
-91.604,-150.805
-92.108,-150.666
-91.706,-150.33
-91.811,-151.114
-91.86,-150.886
-92.141,-150.261
-90.936,-150.985
-92.583,-150.064
-91.87,-150.667
-92.182,-150.024
-92.386,-150.463
-92.62,-149.937
-91.409,-151.029
-92.256,-150.602
-91.958,-150.685
-92.795,-149.902
-91.736,-150.888
-92.441,-150.21
-91.398,-150.636
-92.923,-150.613
-91.435,-150.794
-93.322,-149.88
-91.3,-151.057
-92.684,-150.479
-92.003,-150.744
-91.752,-150.22
-91.65,-150.853
-92.228,-150.926
-91.824,-150.888
-92.498,-150.737
-92.336,-149.907
-92.791,-150.488
-91.898,-150.813
-92.359,-150.265
-92.177,-150.815
-92.743,-150.253
-92.705,-150.191
-91.588,-151.069
-92.264,-150.679
-92.454,-149.966
-91.876,-151.148
-92.788,-149.962
-92.204,-150.703
-92.383,-150.358
-91.401,-150.363
-91.138,-151.013
-91.896,-150.248
-92.153,-150.359
-92.11,-150.156
-91.189,-151.316
-91.879,-150.883
-91.878,-150.376
-93.578,-149.777
-91.867,-150.104
-92.165,-149.593
-91.988,-151.221
-92.444,-150.51
-92.787,-150.069
-91.943,-150.602
-91.167,-151.248
-91.979,-150.171
-91.42,-151.323
-91.531,-150.978
-92.061,-150.776
-91.357,-151.216
-92.441,-150.457
-91.488,-151.264
-91.8,-150.205
-91.112,-151.296
-92.116,-150.549
-92.45,-150.052
-91.97,-150.871
-91.883,-150.513
-92.117,-149.997
-91.988,-150.503
-92.11,-150.973
-92.108,-151.753
-92.856,-149.549
-92.263,-151.051
-92.176,-151.172
-91.377,-150.717
-91.755,-149.703
-92.062,-150.482
-92.293,-150.583
-92.127,-150.513
-93.225,-151.072
-92.618,-150.756
-92.151,-150.895
-92.642,-150.876
-92.382,-150.658
-91.739,-150.547
-91.806,-149.96
-92.174,-150.708
-92.627,-150.63
-92.511,-150.194
-91.932,-150.949
-91.453,-150.835
-91.905,-150.889
-92.238,-149.943
-91.006,-151.407
-91.95,-151.519
-92.171,-150.497
-92.847,-150.202
-92.012,-150.247
-91.979,-150.764
-91.355,-150.713
-91.204,-151.373
-92.488,-150.528
-92.06,-150.994
-91.235,-151.006
-92.303,-150.675
-91.498,-150.933
-92.264,-150.511
-92.936,-150.776
-92.658,-150.623
-92.578,-150.541
-91.648,-150.821
-91.469,-150.797
-92.241,-149.829
-92.317,-150.54
-91.368,-151.526
-92.449,-150.744
-91.312,-150.546
-91.831,-150.425
-92.673,-150.058
-92.408,-150.06
-91.805,-151.405
-92.754,-150.552
-92.495,-149.456
-92.575,-150.207
-91.613,-149.836
-92.03,-151.027
-92.201,-150.216
-91.628,-150.638
-93.046,-150.364
-91.87,-151.247
-92.373,-150.25
-91.946,-150.581
-92.563,-150.558
-92.482,-150.089
-91.237,-150.621
-91.986,-150.457
-91.099,-151.135
-91.586,-151.042
-92.258,-150.697
-91.627,-151.667
-91.376,-150.468
-92.536,-150.215
-92.555,-150.393
-91.985,-150.734
-91.438,-151.286
-92.542,-150.459
-92.648,-150.321
-92.202,-150.474
-91.458,-150.741
-92.386,-150.06
-92.889,-150.173
-92.038,-151.025
-92.25,-150.264
-92.201,-150.6
-92.482,-149.979
-92.264,-150.564
-91.938,-150.893
-92.017,-149.803
-92.662,-150.781
-92.608,-150.335
-92.133,-151.024
-93.101,-149.956
-92.333,-150.216
-91.665,-151.224
-92.405,-150.955
-92.128,-150.555
-92.159,-150.274
-91.696,-150.237
-91.417,-150.622
-91.756,-150.892
-92.251,-150.813
-91.792,-150.742
-91.866,-151.061
-92.546,-149.972
-92.3,-150.31
-92.136,-151.182
-91.747,-150.888
-91.474,-150.922
-91.373,-151.558
-92.233,-150.08
-92.93,-150.249
-92.114,-150.05
-91.861,-150.743
-91.988,-150.5
-92.444,-150.283
-91.086,-151.039
-92.714,-150.056
-92.501,-150.25
-92.476,-150.375
-92.229,-150.426
-91.874,-150.102
-92.058,-150.492
-92.369,-150.172
-91.31,-150.834
-91.449,-151.202
-92.391,-150.393
-92.009,-151.201
-91.279,-150.726
-92.169,-150.694
-91.539,-151.343
-91.405,-150.679
-92.634,-149.843
-91.435,-151.128
-92.632,-149.728
-92.443,-149.838
-92.466,-150.078
-91.533,-150.444
-91.761,-150.762
-91.877,-150.679
-92.095,-150.751
-92.64,-150.515
-92.557,-150.56
-92.469,-150.672
-92.937,-150.18
-93.003,-149.955
-91.52,-150.566
-91.529,-150.833
-92.914,-149.65
-91.997,-150.864
-91.732,-150.879
-92.514,-151.352
-92.839,-150.057
-92.844,-150.094
-91.709,-150.754
-92.188,-149.997
-91.101,-151.071
-92.242,-150.522
-91.726,-150.991
-91.59,-150.706
-92.329,-150.641
-91.763,-151.262
-91.6,-150.916
-92.179,-150.402
-91.695,-150.83
-91.823,-151.212
-91.229,-150.448
-92.969,-150.326
-92.219,-150.371
-92.177,-151.204
-92.76,-149.729
-92.127,-150.922
-92.689,-149.772
-91.928,-151.098
-92.774,-150.275
-91.743,-151.111
-92.393,-150.347
-91.068,-151.726
-91.383,-151.143
-92.549,-150.464
-92.294,-150.104
-91.128,-152.07
-92.129,-150.583
-91.752,-151.048
-92.01,-149.716
-92.997,-149.943
-92.481,-149.989
-91.652,-150.419
-92.427,-150.462
-92.791,-150.012
-92.269,-150.561
-92.514,-149.89
-92.449,-150.602
-92.04,-150.378
-92.65,-150.332
-91.379,-151.779
-92.9,-150.591
-92.06,-150.836
-91.837,-150.34
-91.839,-151.063
-92.399,-150.35
-92.316,-149.98
-92.144,-150.2
-92.339,-150.154
-92.516,-150.077
-92.265,-150.81
-92.514,-150.437
-92.495,-150.285
-92.242,-150.879
-92.201,-150.643
-90.805,-151.362
-91.884,-150.998
-91.618,-150.69
-92.026,-148.791
-91.223,-150.516
-92.585,-149.698
-92.24,-150.174
-91.798,-150.843
-91.821,-151.144
-92.036,-150.025
-90.865,-151.034
-91.782,-151.137
-92.354,-150.839
-91.942,-150.9
-90.865,-151.199
-92.813,-149.646
-92.083,-150.876
-91.968,-150.603
-91.412,-151.559
-92.062,-151.129
-90.793,-151.97
-91.626,-151.022
-92.236,-150.16
-91.611,-150.242
-91.217,-151.891
-92.301,-150.201
-91.857,-150.263
-92.423,-150.087
-92.606,-150.179
-92.349,-150.521
-92.591,-150.909
-92.266,-150.475
-91.419,-151.272
-92.759,-150.24
-92.501,-150.728
-91.852,-151.115
-92.264,-150.39
-91.597,-151.167
-91.971,-151.136
-91.295,-151.254
-92.141,-150.442
-92.334,-150.114
-91.5,-151.34
-92.409,-150.52
-91.879,-150.443
-91.688,-150.99
-91.228,-151.292
-91.843,-151.08
-91.998,-150.306
-91.868,-150.95
-92.194,-151.149
-92.039,-150.87
-92.21,-150.67
-92.653,-150.331
-92.735,-150.289
-92.623,-150.251
-91.855,-151.736
-91.444,-151.151
-92.427,-150.599
-91.936,-151.222
-92.505,-150.915
-92.116,-150.56
-91.969,-150.558
-91.751,-151.044
-91.686,-150.987
-91.373,-150.749
-92.261,-150.796
-91.664,-150.285
-92.403,-150.603
-91.767,-150.628
-91.477,-150.837
-92.207,-150.112
-91.839,-151.317
-92.178,-150.75
-92.616,-150.328
-91.936,-150.864
-91.901,-150.967
-91.865,-149.531
-92.126,-150.264
-92.606,-150.483
-92.593,-149.655
-91.749,-150.426
-92.414,-150.905
-92.271,-150.076
-92.696,-149.721
-91.86,-150.352
-92.384,-150.429
-92.289,-150.132
-91.214,-150.488
-91.987,-150.823
-91.545,-150.575
-91.418,-151.083
-91.936,-150.75
-92.129,-150.551
-92.561,-150.015
-91.068,-151.04
-92.699,-150.295
-92.568,-150.351
-91.849,-150.39
-91.927,-150.995
-92.227,-150.327
-91.696,-150.102
-92.703,-150.748
-91.472,-150.782
-91.706,-151.338
-91.833,-150.463
-92.71,-150.204
-92.377,-150.691
-92.846,-150.198
-92.215,-150.219
-92.485,-150.497
-92.927,-150.585
-90.667,-151.13
-91.441,-151.259
-91.308,-150.572
-92.074,-150.654
-91.836,-150.524
-92.259,-150.925
-91.57,-150.462
-91.289,-151.168
-92.092,-150.874
-92.602,-150.413
-90.943,-150.743
-92.049,-151.187
-92.594,-150.3
-91.546,-151.324
-91.926,-149.399
-91.706,-150.887
-91.0,-151.425
-91.981,-150.633
-92.147,-150.773
-91.865,-150.509
-92.949,-150.134
-91.932,-150.636
-91.251,-151.262
-91.44,-150.643
-93.056,-149.944
-91.46,-150.958
-91.444,-150.316
-92.142,-150.668
-92.201,-151.056
-91.743,-150.426
-91.36,-151.722
-91.031,-150.971
-92.429,-150.386
-92.371,-150.627
-91.111,-151.164
-92.05,-150.836
-92.232,-150.924
-91.265,-151.565
-92.311,-150.571
-91.962,-150.137
-92.769,-150.481
-91.75,-150.495
-91.729,-150.765
-91.811,-150.688
-92.377,-149.673
-92.067,-149.846
-93.031,-150.355
-91.371,-151.083
-92.438,-150.519
-92.137,-150.469
-92.361,-150.49
-93.223,-149.558
-92.648,-150.422
-92.373,-150.99
-91.916,-151.32
-91.623,-151.853
-91.576,-150.286
-92.429,-151.041
-92.038,-150.831
-92.221,-150.116
-92.13,-150.335
-91.833,-150.495
-92.098,-150.272
-91.807,-151.054
-92.69,-149.496
-91.447,-151.652
-91.93,-150.812
-91.212,-151.164
-92.202,-150.017
-92.795,-150.672
-92.072,-150.49
-91.963,-150.123
-92.326,-150.555
-91.831,-150.425
-91.345,-151.436
-92.145,-150.644
-91.574,-151.472
-92.234,-150.991
-92.137,-150.477
-92.634,-149.878
-92.636,-150.244
-91.396,-150.462
-92.139,-151.005
-92.667,-151.145
-91.9,-150.423
-91.86,-150.493
-92.057,-150.238
-92.458,-149.697
-92.326,-150.061
-91.518,-150.457
-92.539,-150.015
-92.193,-149.823
-92.072,-150.468
-92.289,-150.093
-92.747,-149.686
-92.255,-150.742
-90.698,-151.327
-92.446,-150.22
-91.802,-150.721
-93.014,-150.815
-91.915,-150.924
-92.308,-150.639
-91.762,-151.296
-92.797,-150.436
-92.93,-150.141
-92.446,-150.698
-92.047,-151.563
-91.863,-150.708
-92.065,-151.143
-92.692,-150.72
-92.247,-150.36
-92.157,-149.929
-92.092,-151.215
-92.617,-150.579
-92.786,-150.385
-92.052,-150.92
-92.695,-150.962
-92.407,-150.167
-90.916,-151.128
-91.591,-150.304
-92.273,-150.495
-92.204,-150.28
-91.64,-150.457
-93.129,-149.729
-92.209,-150.671
-92.056,-150.706
-91.598,-150.19
-92.002,-150.788
-92.158,-150.876
-91.672,-150.766
-91.589,-150.618
-92.197,-150.615
-92.33,-150.67
-91.424,-150.298
-92.068,-150.102
-91.558,-151.257
-93.076,-150.689
-91.955,-150.713
-92.833,-149.838
-92.017,-150.544
-92.155,-150.808
-92.547,-150.564
-91.244,-150.506
-92.193,-150.233
-93.178,-150.558
-92.136,-151.443
-92.282,-150.359
-91.642,-150.467
-91.961,-150.205
-92.468,-150.438
-91.732,-151.014
-92.007,-150.915
-93.167,-149.744
-91.634,-151.327
-92.198,-150.21
-92.649,-149.641
-92.626,-149.559
-92.568,-149.932
-91.495,-150.139
-91.474,-150.84
-91.252,-151.104
-91.697,-151.033
-92.961,-150.287
-92.655,-149.786
-91.489,-151.259
-92.383,-149.649
-92.43,-150.215
-92.205,-150.75
-91.764,-150.373
-91.505,-150.971
-92.552,-150.461
-92.324,-150.553
-92.508,-150.121
-92.225,-150.28
-91.426,-151.974
-93.346,-150.14
-92.654,-149.922
-91.99,-150.881
-92.262,-150.85
-91.083,-151.365
-91.035,-150.792
-91.471,-150.618
-92.055,-150.324
-92.517,-150.528
-91.888,-149.967
-92.357,-150.181
-91.884,-150.772
-92.591,-149.79
-91.908,-151.082
-92.539,-149.843
-91.258,-150.716
-92.016,-150.08
-91.578,-150.984
-93.64,-149.437
-92.184,-151.196
-92.249,-150.872
-92.348,-150.136
-92.091,-150.766
-92.909,-149.719
-91.554,-150.693
-91.703,-150.804
-92.016,-150.644
-92.017,-151.124
-91.916,-150.422
-91.895,-150.789
-91.941,-150.458
-91.743,-150.892
-91.717,-150.256
-91.725,-150.867
-91.737,-150.063
-91.984,-150.589
-92.273,-150.492
-91.363,-150.512
-91.75,-151.015
-91.724,-150.853
-91.122,-150.813
-92.114,-150.742
-91.552,-150.797
-91.912,-150.87
-91.646,-150.777
-90.826,-150.491
-92.199,-150.305
-92.385,-150.855
-92.518,-150.142
-91.884,-150.373
-92.953,-149.795
-92.753,-150.578
-92.531,-149.979
-92.385,-151.042
-92.307,-150.425
-92.112,-150.315
-92.448,-150.061
-92.301,-150.151
-92.978,-149.123
-93.141,-149.932
-91.726,-150.958
-91.361,-150.628
-92.54,-150.075
-91.996,-150.592
-91.265,-151.194
-92.286,-150.099
-91.819,-150.826
-92.607,-150.765
-92.35,-150.23
-91.683,-150.942
-91.652,-150.978
-91.235,-150.566
-91.864,-150.988
-92.251,-150.074
-91.977,-150.353
-91.639,-150.455
-91.474,-150.918
-92.392,-149.987
-92.087,-150.64
-91.77,-150.556
-91.994,-150.45
-91.925,-149.796
-92.168,-151.274
